,person_ctry_code,year,total,B60L,H01M,F03D,H01L,RTA_B60L,RTA_H01M,RTA_F03D,RTA_H01L
47,CZ,2004,6361.33147686,9.72777777778,9.6487293956,10.75,13.1300444925,0.621900278182,0.0688016287213,0.418671779061,0.0201098028662
48,CZ,2007,6763.5905349,2.70238095238,11.3173280423,16.6666666667,22.7668374218,0.162489162388,0.0759002516722,0.61049862756,0.0327955592015
49,CZ,2010,8305.79078071,9.15436507937,25.1697222222,15.2714285714,48.6351190476,0.448231503846,0.137459276773,0.455524697111,0.0570503926772
50,DE,1998,393585.632741,378.263893536,1448.19631837,336.667857143,4784.322021,0.390850604748,0.166903260756,0.211921816571,0.118432475872
51,DE,2001,471922.108725,449.678379532,2639.69138547,694.447835498,7997.29031352,0.387513484996,0.25372277375,0.364571365502,0.165105743046
52,DE,2004,472028.196888,417.010376201,2743.88128044,1249.83366883,9260.99061863,0.359280838521,0.263678059407,0.65599046615,0.191152130998
53,DE,2007,477760.911768,493.15764097,2744.15088395,1131.40585761,9871.64677854,0.41978825941,0.260539749466,0.58670671394,0.201311522971
54,DE,2010,407019.245016,863.798819479,3931.06315196,1847.55123136,9935.95734525,0.863083468717,0.438098428739,1.12459149727,0.237839737027
55,DK,1998,16658.8117131,1.25,49.1167443667,46.8484848485,16.7476190476,0.030515544943,0.133740262751,0.696730431955,0.0097948704433
56,DK,2001,19734.2941098,1.66666666667,91.4500555001,153.146428571,42.0515086765,0.0343464843282,0.210203041722,1.92264245057,0.0207610649486
57,DK,2004,20154.0843631,1.16666666667,55.6365440115,274.147142857,51.0403108466,0.023541755994,0.125219997859,3.37003104743,0.0246740181855
58,DK,2007,20081.8257788,0.5,164.260912698,392.175569986,85.9544083694,0.0101256274828,0.371028829095,4.8382754692,0.0417017809154
59,DK,2010,17231.5816497,5.2003968254,191.210793651,959.283064898,64.1509401709,0.122734449438,0.503342823615,13.7922425284,0.0362716678079
60,EE,1998,301.312973138,0.333333333333,0.0,1.0,1.0,0.449900059935,0.0,0.822233977369,0.032334921518
